mun_code,mun_name,district_code,year,gross_income_pc,wage,pension,unemp_benefit,other_benefits,other_income
02036,Golosalvo,0203601,2015,8651,3443,3596,205,555,852
02037,Hellín,0203701,2022,10130,6225,1938,471,755,741
02037,Hellín,0203701,2021,9593,5748,1862,585,692,705
02037,Hellín,0203701,2020,9066,5254,1825,712,665,610
02037,Hellín,0203701,2019,8865,5275,1831,452,591,716
02037,Hellín,0203701,2018,8297,4881,1742,436,551,687
02037,Hellín,0203701,2017,7842,4591,1730,432,514,575
02037,Hellín,0203701,2016,7477,4246,1752,404,468,608
02037,Hellín,0203701,2015,7117,3816,1756,440,476,629
02037,Hellín,0203702,2022,13249,7676,2988,415,706,1464
02037,Hellín,0203702,2021,12558,7082,2786,545,635,1510
02037,Hellín,0203702,2020,11843,6470,2728,669,635,1342
02037,Hellín,0203702,2019,11683,6645,2641,361,596,1440
02037,Hellín,0203702,2018,11189,6320,2524,380,564,1401
02037,Hellín,0203702,2017,10817,6226,2409,333,524,1324
02037,Hellín,0203702,2016,10359,5883,2342,327,516,1291
02037,Hellín,0203702,2015,10182,5598,2457,349,541,1237
02037,Hellín,0203703,2022,13123,8216,2479,431,717,1280
